origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
1,4,235,239,local_bwar,48.0,0.01,0.11890386913092761,4.95271465943576e-10,1.0,0.0
1,4,236,240,local_bwar,48.0,0.01,0.09322108808155033,5.374929112250832e-10,1.0,0.0
1,4,237,241,local_bwar,48.0,0.01,0.047808792889162725,5.49318038955511e-10,1.0,0.0
1,4,238,242,local_bwar,48.0,0.01,0.02939030258719278,5.965624315113499e-10,1.0,0.0
1,4,239,243,local_bwar,48.0,0.01,0.08933544782990582,6.872107103968496e-10,1.0,0.0
1,4,240,244,local_bwar,48.0,0.01,0.10703133160577818,7.048620126013557e-10,1.0,0.0
1,4,241,245,local_bwar,48.0,0.01,0.12618957700214056,7.01855277196794e-10,1.0,0.0
1,4,242,246,local_bwar,48.0,0.01,0.0852756730981272,7.427804596105751e-10,1.0,0.0
1,4,243,247,local_bwar,48.0,0.01,0.13704647681546184,8.709688984947927e-10,1.0,0.0
1,4,244,248,local_bwar,48.0,0.01,0.128722982090725,8.323485887976386e-10,1.0,0.0
1,4,245,249,local_bwar,48.0,0.01,0.07504969449018768,8.21848967338148e-10,1.0,0.0
1,4,246,250,local_bwar,48.0,0.01,0.061243668806210474,7.915324230532879e-10,1.0,0.0
1,4,247,251,local_bwar,48.0,0.01,0.05595303381422557,7.877196254345386e-10,1.0,0.0
1,4,248,252,local_bwar,48.0,0.01,0.10270729732278494,8.002242298790293e-10,1.0,0.0
1,4,249,253,local_bwar,48.0,0.01,0.08098340191623567,7.736897326248355e-10,1.0,0.0
1,4,250,254,local_bwar,48.0,0.01,0.11220587997706116,7.271139755316979e-10,1.0,0.0
1,4,251,255,local_bwar,48.0,0.01,0.08111710978606171,6.482790327901598e-10,1.0,0.0
1,4,252,256,local_bwar,48.0,0.01,0.057011479682805864,7.946359774128635e-10,1.0,0.0
1,4,253,257,local_bwar,48.0,0.01,0.07864963798887784,9.950603123167677e-10,1.0,0.0
1,4,254,258,local_bwar,48.0,0.01,0.09048557450397703,4.618431963327881e-11,1.0,0.0
1,4,255,259,local_bwar,48.0,0.01,0.11318952551017047,4.3002850926373375e-11,1.0,0.0
1,4,256,260,local_bwar,48.0,0.01,0.13845582608358353,4.291580366357503e-11,1.0,0.0
1,4,257,261,local_bwar,48.0,0.01,0.12407138754146294,8.4597210257873e-10,1.0,0.0
1,4,258,262,local_bwar,48.0,0.01,0.08305763585527502,7.477844010771439e-10,1.0,0.0
1,4,259,263,local_bwar,48.0,0.01,0.05695268840815226,8.065619190903927e-10,1.0,0.0
1,4,260,264,local_bwar,48.0,0.01,0.07276741646455108,4.2167036792552787e-11,1.0,0.0
1,4,261,265,local_bwar,48.0,0.01,0.11727298644823997,4.499305731457915e-11,1.0,0.0
1,4,262,266,local_bwar,48.0,0.01,0.1488934914391429,9.386947017097751e-10,1.0,0.0
1,5,219,224,local_bwar,48.0,0.01,0.10978484831380814,1.100482224500189e-10,1.0,0.0
1,5,220,225,local_bwar,48.0,0.01,0.1308482104710342,1.1379257337328353e-10,1.0,0.0
1,5,221,226,local_bwar,48.0,0.01,0.10829886790200335,1.0961141561225875e-10,1.0,0.0
1,5,222,227,local_bwar,48.0,0.01,0.11345661974802645,1.0702956240852152e-10,1.0,0.0
1,5,223,228,local_bwar,48.0,0.01,0.08690089312711846,1.0344362860095621e-10,1.0,0.0
1,5,224,229,local_bwar,48.0,0.01,0.10434676768177346,1.0313769375047309e-10,1.0,0.0
1,5,225,230,local_bwar,48.0,0.01,0.09716830870824526,1.0286809378378291e-10,1.0,0.0
1,5,226,231,local_bwar,48.0,0.01,0.10518980085484494,1.064090545511832e-10,1.0,0.0
1,5,227,232,local_bwar,48.0,0.01,0.09133845882138338,1.0631821645568128e-10,1.0,0.0
1,5,228,233,local_bwar,48.0,0.01,0.1346363212678266,1.1040051694190929e-10,1.0,0.0
1,5,229,234,local_bwar,48.0,0.01,0.11443442985072994,1.0944881147254035e-10,1.0,0.0
1,5,230,235,local_bwar,48.0,0.01,0.09335326053317067,1.107483081651525e-10,1.0,0.0
1,5,231,236,local_bwar,48.0,0.01,0.08885958900258015,6.749373691430928e-11,1.0,0.0
1,5,232,237,local_bwar,48.0,0.01,0.11235514104624773,8.971006627263896e-10,1.0,0.0
1,5,233,238,local_bwar,48.0,0.01,0.12227742131877849,6.036738771358502e-10,1.0,0.0
1,5,234,239,local_bwar,48.0,0.01,0.1296690957165008,4.814975875371643e-10,1.0,0.0
1,5,235,240,local_bwar,48.0,0.01,0.13310532736436295,4.95271465943576e-10,1.0,0.0
1,5,236,241,local_bwar,48.0,0.01,0.08319297420992121,5.374929112250832e-10,1.0,0.0
